id;time;x;y;z
1249;1708636092207;-0.070289165;0.35294133;9.915857
1250;1708636092408;-0.06999006;0.35204405;9.917053
1251;1708636092612;-0.069391854;0.35204405;9.915857
1252;1708636092807;-0.06819545;0.35413775;9.917053
1253;1708636093008;-0.06849455;0.35114673;9.914362
1254;1708636093209;-0.06819545;0.35084763;9.91496
1255;1708636093407;-0.070289165;0.3502494;9.917353
1256;1708636093609;-0.068793654;0.35114673;9.916455
1257;1708636093809;-0.06580263;0.35204405;9.916156
1258;1708636094007;-0.06849455;0.35144582;9.915857
1259;1708636094207;-0.07208378;0.3487539;9.915558
1260;1708636094406;-0.06729814;0.35144582;9.915558
1261;1708636094607;-0.066400826;0.34636107;9.920343
1262;1708636094808;-0.06819545;0.34965122;9.915558
1263;1708636095006;-0.067896344;0.35114673;9.915857
1264;1708636095207;-0.06969096;0.35383865;9.916455
1265;1708636095407;-0.06849455;0.35264224;9.917651
1266;1708636095609;-0.06430711;0.35144582;9.916755
1267;1708636095806;-0.06729814;0.35084763;9.916156
1268;1708636096006;-0.069391854;0.35234314;9.915558
1269;1708636096208;-0.068793654;0.349053;9.915857
1270;1708636096406;-0.06759724;0.3487539;9.916455
1271;1708636096607;-0.069391854;0.3505485;9.916156
1272;1708636096808;-0.06849455;0.35084763;9.916455
1273;1708636097005;-0.07058827;0.35593235;9.914362
1274;1708636097207;-0.06999006;0.3499503;9.915258
1275;1708636097407;-0.07328019;0.35383865;9.917053
1276;1708636097605;-0.06849455;0.34965122;9.914362
1277;1708636097807;-0.06759724;0.3481557;9.9140625
1278;1708636098007;-0.06909275;0.34965122;9.914362
1279;1708636098206;-0.06729814;0.35174492;9.916156
1280;1708636098406;-0.06610172;0.35144582;9.91466
1281;1708636098607;-0.06909275;0.35144582;9.91466
1282;1708636098805;-0.06909275;0.35234314;9.916455
1283;1708636099004;-0.069391854;0.3484548;9.917353
1284;1708636099207;-0.069391854;0.35084763;9.916455
1285;1708636099405;-0.06460621;0.3505485;9.917951
1286;1708636099605;-0.06849455;0.3481557;9.91496
1287;1708636099805;-0.06669993;0.35114673;9.913763
1288;1708636100005;-0.07088737;0.3499503;9.913763
1289;1708636100206;-0.067896344;0.35114673;9.917951
1290;1708636100405;-0.06729814;0.3481557;9.91496
1291;1708636100605;-0.064905316;0.35204405;9.917353
1292;1708636100807;-0.06999006;0.34785658;9.913465
1293;1708636101006;-0.06669993;0.3505485;9.913763
1294;1708636101205;-0.06669993;0.3493521;9.916455
1295;1708636101404;-0.066400826;0.3493521;9.913165
1296;1708636101604;-0.06909275;0.3493521;9.916156
1297;1708636101803;-0.06669993;0.35114673;9.915258
1298;1708636102004;-0.070289165;0.3484548;9.913465
1299;1708636102204;-0.06550352;0.34965122;9.914362
1300;1708636102405;-0.06669993;0.35144582;9.91137
1301;1708636102604;-0.070289165;0.35353956;9.913465
1302;1708636102806;-0.06759724;0.35144582;9.91496
1303;1708636103004;-0.069391854;0.3505485;9.912866
1304;1708636103203;-0.06909275;0.35593235;9.915258
1305;1708636103404;-0.06969096;0.35234314;9.913465
1306;1708636103603;-0.06969096;0.3502494;9.918549
1307;1708636103803;-0.06699903;0.3499503;9.913465
1308;1708636104006;-0.07088737;0.35144582;9.916755
1309;1708636104203;-0.06819545;0.35264224;9.916755
1310;1708636104404;-0.07238288;0.3487539;9.913763
1311;1708636104606;-0.06969096;0.3484548;9.917951
1312;1708636104802;-0.06849455;0.35114673;9.916156
1313;1708636105002;-0.06759724;0.35144582;9.915558
1314;1708636105203;-0.06969096;0.3493521;9.917651
1315;1708636105403;-0.068793654;0.3505485;9.915558
1316;1708636105604;-0.066400826;0.34965122;9.915258
1317;1708636105805;-0.067896344;0.35144582;9.9140625
1318;1708636106002;-0.068793654;0.3499503;9.9191475
1319;1708636106204;-0.08135597;0.33110684;9.918549
1320;1708636106403;-0.055633128;0.36729828;9.914362
1321;1708636106602;-0.06699903;0.35204405;9.916455
1322;1708636106804;-0.06909275;0.34277186;9.912567
1323;1708636107003;-0.06759724;0.3592225;9.922438
1324;1708636107202;-0.066400826;0.34636107;9.915857
1325;1708636107401;-0.069391854;0.35383865;9.915857
1326;1708636107604;-0.071186475;0.35383865;9.914362
1327;1708636107802;-0.06969096;0.35533416;9.91496
1328;1708636108004;-0.067896344;0.35473597;9.916156
1329;1708636108204;-0.068793654;0.35264224;9.915258
1330;1708636108402;-0.06520442;0.35503507;9.9140625
1331;1708636108602;-0.06909275;0.35443684;9.915558
1332;1708636108801;-0.07088737;0.35204405;9.914362
1333;1708636109002;-0.06819545;0.35443684;9.91496
1334;1708636109203;-0.07088737;0.35653058;9.917651
1335;1708636109401;-0.07178468;0.35593235;9.915857
1336;1708636109601;-0.071186475;0.357727;9.917053
1337;1708636109801;-0.06969096;0.35353956;9.917053
1338;1708636110001;-0.068793654;0.35413775;9.91466
1339;1708636110203;-0.070289165;0.35174492;9.916455
1340;1708636110402;-0.06759724;0.35563326;9.915258
1341;1708636110601;-0.06580263;0.35264224;9.91466
1342;1708636110800;-0.06849455;0.35174492;9.913165
1343;1708636111001;-0.06909275;0.35653058;9.915258
1344;1708636111201;-0.0735793;0.35443684;9.91466
1345;1708636111400;-0.07058827;0.35324043;9.916455
1346;1708636111600;-0.07088737;0.35503507;9.916455
1347;1708636111802;-0.06999006;0.3574279;9.916156
1348;1708636112000;-0.06849455;0.35353956;9.913465
1349;1708636112202;-0.069391854;0.3580261;9.917353
1350;1708636112400;-0.068793654;0.3592225;9.917651
1351;1708636112600;-0.07088737;0.35324043;9.915558
1352;1708636112802;-0.06909275;0.35832518;9.920045
1353;1708636113000;-0.072681986;0.35383865;9.917651
1354;1708636113200;-0.07148558;0.35503507;9.917053
1355;1708636113399;-0.064905316;0.3595216;9.915558
1356;1708636113602;-0.06999006;0.35563326;9.918549
1357;1708636113800;-0.06969096;0.35503507;9.917353
1358;1708636114001;-0.07178468;0.35832518;9.914362
1359;1708636114202;-0.07298109;0.35443684;9.917353
1360;1708636114399;-0.07178468;0.3589234;9.915857
1361;1708636114600;-0.070289165;0.35533416;9.915857
1362;1708636114801;-0.07058827;0.35712877;9.915857
1363;1708636115000;-0.069391854;0.35712877;9.917353
1364;1708636115201;-0.07148558;0.3580261;9.917353
1365;1708636115401;-0.06909275;0.35623148;9.916455
1366;1708636115600;-0.070289165;0.35473597;9.917951
1367;1708636115799;-0.068793654;0.35682967;9.916455
1368;1708636116001;-0.071186475;0.35832518;9.918848
1369;1708636116199;-0.07058827;0.3574279;9.917951
1370;1708636116400;-0.07058827;0.35563326;9.915857
1371;1708636116598;-0.07058827;0.357727;9.91496
1372;1708636116798;-0.069391854;0.35832518;9.917353
1373;1708636117000;-0.07148558;0.35712877;9.91825
1374;1708636117199;-0.07058827;0.35712877;9.914362
1375;1708636117399;-0.071186475;0.35353956;9.918549
1376;1708636117599;-0.07208378;0.35712877;9.917951
1377;1708636117799;-0.07178468;0.3580261;9.918549
1378;1708636117999;-0.07238288;0.35383865;9.917053
1379;1708636118199;-0.07088737;0.35413775;9.917651
1380;1708636118400;-0.068793654;0.35593235;9.917651
1381;1708636118599;-0.071186475;0.35413775;9.913165
1382;1708636118800;-0.07328019;0.3574279;9.920343
1383;1708636119000;-0.06819545;0.35862428;9.917951
1384;1708636119197;-0.06969096;0.35593235;9.915258
1385;1708636119400;-0.0741775;0.35473597;9.918549
1386;1708636119599;-0.070289165;0.35503507;9.916156
1387;1708636119798;-0.070289165;0.3595216;9.916156
1388;1708636120000;-0.072681986;0.35682967;9.918549
1389;1708636120199;-0.06969096;0.35473597;9.9191475
1390;1708636120398;-0.07058827;0.360718;9.918549
1391;1708636120601;-0.06849455;0.3598207;9.917353
1392;1708636120798;-0.071186475;0.35682967;9.916156
1393;1708636120997;-0.07058827;0.3592225;9.91825
1394;1708636121199;-0.07088737;0.35563326;9.918549
1395;1708636121398;-0.06969096;0.35593235;9.915857
1396;1708636121597;-0.066400826;0.35294133;9.91825
1397;1708636121799;-0.072681986;0.34037903;9.913763
1398;1708636121997;-0.05922236;0.34486556;9.912567
1399;1708636122201;-0.07178468;0.36610186;9.922438
1400;1708636122398;-0.06281159;0.36041892;9.918549
1401;1708636122599;-0.069391854;0.35653058;9.918848
1402;1708636122797;-0.06699903;0.3493521;9.914362
1403;1708636122997;-0.06520442;0.35473597;9.9191475
1404;1708636123196;-0.068793654;0.35174492;9.915857
1405;1708636123397;-0.070289165;0.3502494;9.916156
1406;1708636123596;-0.06610172;0.35503507;9.917651
1407;1708636123797;-0.040677983;-0.010767702;9.964012
1408;1708636123997;0.10378868;-0.7256235;11.403893
1409;1708636124196;0.28295127;-0.5066802;11.583654
1410;1708636124398;-0.21026929;0.05922236;10.604691
1411;1708636124597;0.35383865;0.29491538;10.365409
1412;1708636124797;1.1790633;0.6837491;9.599706
1413;1708636124998;1.4617156;2.5561328;9.228818
1414;1708636125196;2.111666;3.455535;7.9277205
1415;1708636125396;2.9946175;3.6927235;8.000103
1416;1708636125598;3.484847;4.1868415;7.0893354
1417;1708636125798;4.542176;4.4093738;7.9363947
1418;1708636125996;3.6586258;4.660919;7.4401827
1419;1708636126197;3.1591241;4.883153;6.880861
1420;1708636126395;3.3346975;5.439783;7.25773
1421;1708636126597;3.6017964;5.0946183;7.7213397
1422;1708636126796;3.0188448;4.276572;6.2679987
1423;1708636126995;0.17766708;0.19531415;0.74626154
1424;1708636127196;-0.2204388;-0.042771704;0.58923256
1425;1708636127396;-0.9912268;6.7408805;7.7560353
1426;1708636127595;1.1303096;1.1958131;11.364113
1427;1708636127797;-3.280859;1.7380866;9.886844
1428;1708636127997;0.5778667;1.3211372;9.7145605
1429;1708636128195;0.8129615;1.3609179;9.796515
1430;1708636128395;0.8132606;1.3603196;9.798011
1431;1708636128597;0.81565344;1.3627125;9.799506
1432;1708636128795;0.81864446;1.3621143;9.799506
1433;1708636128996;0.77766734;1.3609179;9.772287
1434;1708636129196;0.7007979;1.3579268;9.859626
1435;1708636129394;0.7055836;1.3740784;9.766306
1436;1708636129596;0.61016977;1.39023;9.922438
1437;1708636129794;-2.4469602;0.8276175;14.212769
1438;1708636129994;-2.3467607;2.219343;13.302
1439;1708636130194;-1.4467604;2.1101704;7.4679995
1440;1708636130395;0.9400802;2.4329023;5.265406
1441;1708636130593;-1.3121641;-0.7079764;7.4859457
1442;1708636130796;-1.2409776;-0.92632145;10.406984
1443;1708636130995;-0.4211368;-0.07926225;10.913963
1444;1708636131194;-0.15732808;0.17138593;9.649057
1445;1708636131396;-0.09302098;0.34785658;10.085448
1446;1708636131596;-0.064905316;0.34636107;9.900304
1447;1708636131793;-0.071186475;0.3487539;9.915857
1448;1708636131994;-0.06610172;0.34337005;9.915258
1449;1708636132195;-0.06520442;0.3484548;9.916455
1450;1708636132385;-0.06580263;0.3475575;9.91466
1451;1708636132403;-0.066400826;0.3385844;9.920045
1452;1708636132421;-0.068793654;0.34516466;9.913465
1453;1708636132625;-0.06729814;0.34277186;9.914362
1454;1708636132824;-0.06550352;0.34785658;9.913165
1455;1708636133023;-0.069391854;0.34516466;9.915258
1456;1708636133222;-0.06699903;0.3472584;9.916455
1457;1708636133422;-0.064008005;0.3481557;9.916755
1458;1708636133621;-0.06849455;0.34307095;9.916455
1459;1708636133822;-0.06759724;0.3481557;9.9140625
1460;1708636134025;-0.06610172;0.34606197;9.91496
1461;1708636134223;-0.06550352;0.34785658;9.915258
1462;1708636134424;-0.067896344;0.3475575;9.913165
1463;1708636134624;-0.06520442;0.3487539;9.917651
1464;1708636134822;-0.06520442;0.34486556;9.913165
1465;1708636135023;-0.064905316;0.34426737;9.915258
1466;1708636135224;-0.06520442;0.34636107;9.914362
1467;1708636135424;-0.061914288;0.34337005;9.91466
1468;1708636135622;-0.06520442;0.34426737;9.914362
1469;1708636135821;-0.06759724;0.34486556;9.916156
1470;1708636136023;-0.066400826;0.34666017;9.915558
1471;1708636136222;-0.06759724;0.34456646;9.915857
1472;1708636136422;-0.06759724;0.34396824;9.917053
1473;1708636136620;-0.06580263;0.34366915;9.917353
1474;1708636136822;-0.06430711;0.34396824;9.918549
